,number,name,position,birthday,age,height,foot,joined,contract,value,squad, twitter,first_name,last_name
66,18.0,Melayro Bogarde,Defensive Midfield,"May 28, 2002",19,184,right,"Jan 14, 2022","Jun 30, 2022",1500000.0,FC Groningen, -,Melayro,Bogarde
67,26.0,Daniël van Kaam,Defensive Midfield,"Jun 23, 2000",21,175,left,"Jul 1, 2019","Jun 30, 2023",1000000.0,FC Groningen, -,Daniël,van Kaam
68,6.0,Laros Duarte,Defensive Midfield,"Feb 28, 1997",25,180,right,"Aug 31, 2021","Jun 30, 2025",750000.0,FC Groningen, -,Laros,Duarte
69,14.0,Emmanuel Matuta,Defensive Midfield,"Feb 22, 2002",20,177,both,"Jan 20, 2022","Jun 30, 2026",300000.0,FC Groningen, @Emmanuelmatuta4,Emmanuel,Matuta
70,7.0,Tomas Suslov,Attacking Midfield,"Jun 7, 2002",19,173,left,"Jul 1, 2020","Jun 30, 2026",2500000.0,FC Groningen, -,Tomas,Suslov
71,10.0,Daleho Irandust,Attacking Midfield,"Jun 4, 1998",23,185,left,"Aug 31, 2021","Jun 30, 2026",2000000.0,FC Groningen, @Daleho_Irandust,Daleho,Irandust
72,32.0,Luciano Valente,Attacking Midfield,"Oct 4, 2003",18,189,right,"Jul 1, 2021","Jun 30, 2023",2000000.0,FC Groningen, -,Luciano,Valente
73,11.0,Mo El Hankouri,Left Winger,"Jul 1, 1997",24,176,right,"Jul 1, 2019","Jun 30, 2022",900000.0,FC Groningen, -,Mo,El Hankouri
74,17.0,Sebastian Tounekti,Left Winger,"Jul 13, 2002",19,183,right,"Aug 31, 2021","Jun 30, 2022",200000.0,FC Groningen, -,Sebastian,Tounekti
75,27.0,Cyril Ngonge,Right Winger,"May 26, 2000",21,179,left,"Jul 2, 2021","Jun 30, 2025",1400000.0,FC Groningen, @cyrilngonge27,Cyril,Ngonge
76,9.0,Jörgen Strand Larsen,Centre-Forward,"Feb 6, 2000",22,193,right,"Sep 9, 2020","Jun 30, 2024",3000000.0,FC Groningen, @jorgenwester,Jörgen,Strand Larsen
77,19.0,Paulos Abraham,Centre-Forward,"Jul 16, 2002",19,178,both,"Jul 1, 2021","Jun 30, 2026",1500000.0,FC Groningen, -,Paulos,Abraham
78,29.0,Romano Postema,Centre-Forward,"Feb 7, 2002",20,175,right,"Jan 1, 2020","Jun 30, 2024",325000.0,FC Groningen, -,Romano,Postema
79,8.0,Michael de Leeuw,Centre-Forward,"Oct 7, 1986",35,178,right,"Jul 1, 2021","Jun 30, 2022",300000.0,FC Groningen, -,Michael,de Leeuw
80,33.0,Alex Mortensen,Centre-Forward,"Jul 13, 2002",19,m,,"Jul 1, 2021","Jun 30, 2022",25000.0,FC Groningen, -,Alex,Mortensen
81,1.0,Lars Unnerstall,Goalkeeper,"Jul 20, 1990",31,198,right,"Jul 1, 2021","Jun 30, 2025",1500000.0,FC Twente, @LarsUnnerstall,Lars,Unnerstall
82,22.0,Jeffrey de Lange,Goalkeeper,"Apr 1, 1998",23,190,right,"Jul 1, 2018","Jun 30, 2024",50000.0,FC Twente, @JeffreydeLange_,Jeffrey,de Lange
83,30.0,Ennio van der Gouw,Goalkeeper,"Jan 1, 2001",21,195,right,"Jul 1, 2020","Jun 30, 2022",50000.0,FC Twente, -,Ennio,van der Gouw
84,15.0,Kik Pierie,Centre-Back,"Jul 20, 2000",21,183,left,"Jul 16, 2020","Jun 30, 2022",2000000.0,FC Twente, -,Kik,Pierie
85,35.0,Mees Hilgers,Centre-Back,"May 13, 2001",20,183,right,"Oct 17, 2020","Jun 30, 2023",1000000.0,FC Twente, -,Mees,Hilgers
86,3.0,Robin Pröpper,Centre-Back,"Sep 23, 1993",28,190,right,"Jul 1, 2021","Jun 30, 2024",900000.0,FC Twente, @RobinPropper,Robin,Pröpper
87,4.0,Julio Pleguezuelo,Centre-Back,"Jan 26, 1997",25,180,right,"Jul 1, 2019","Jun 30, 2022",800000.0,FC Twente, @JPleguezuelo,Julio,Pleguezuelo
88,5.0,Gijs Smal,Left-Back,"Aug 31, 1997",24,183,left,"Jul 1, 2020","Jun 30, 2023",600000.0,FC Twente, -,Gijs,Smal
89,2.0,Giovanni Troupée,Right-Back,"Mar 20, 1998",23,181,right,"Jul 1, 2021","Jun 30, 2022",600000.0,FC Twente, -,Giovanni,Troupée
90,20.0,Joshua Brenet,Right-Back,"Mar 20, 1994",27,181,right,"Jan 31, 2022","Jun 30, 2022",500000.0,FC Twente, @joshuabrenet,Joshua,Brenet
91,36.0,Luca Everink,Right-Back,"Feb 9, 2001",21,179,right,"Sep 24, 2021","Jun 30, 2022",150000.0,FC Twente, -,Luca,Everink
92,6.0,Wout Brama,Defensive Midfield,"Aug 21, 1986",35,176,right,"Jul 1, 2018","Jun 30, 2022",275000.0,FC Twente, @WoutBrama_,Wout,Brama
93,23.0,Michal Sadilek,Central Midfield,"May 31, 1999",22,169,left,"Aug 7, 2021","Jun 30, 2022",2500000.0,FC Twente, @Sadilek32,Michal,Sadilek
94,19.0,Ramiz Zerrouki,Central Midfield,"May 26, 1998",23,183,right,"Jul 1, 2020","Jun 30, 2023",1200000.0,FC Twente, @ibrahim_khellaf,Ramiz,Zerrouki
95,32.0,Jesse Bosch,Central Midfield,"Feb 1, 2000",22,176,right,"Jan 1, 2020","Jun 30, 2022",600000.0,FC Twente, -,Jesse,Bosch
96,40.0,Casper Staring,Central Midfield,"Feb 1, 2001",21,186,right,"Jul 1, 2020","Jun 30, 2023",100000.0,FC Twente, -,Casper,Staring
97,38.0,Max Bruns,Central Midfield,"Nov 6, 2002",19,183,right,"Feb 17, 2021","Jun 30, 2023",75000.0,FC Twente, -,Max,Bruns
98,14.0,Michel Vlap,Attacking Midfield,"Jun 2, 1997",24,190,right,"Aug 10, 2021","Jun 30, 2022",2000000.0,FC Twente, @Michelvlap,Michel,Vlap
99,26.0,Denilho Cleonise,Left Winger,"Dec 8, 2001",20,179,left,"Aug 18, 2021","Jun 30, 2023",600000.0,FC Twente, -,Denilho,Cleonise
100,18.0,Dimitrios Limnios,Right Winger,"May 27, 1998",23,178,right,"Aug 6, 2021","Jun 30, 2022",1500000.0,FC Twente, -,Dimitrios,Limnios
101,7.0,Vaclav Cerny,Right Winger,"Oct 17, 1997",24,182,left,"Jul 2, 2021","Jun 30, 2023",1000000.0,FC Twente, @Vaclavcerny1,Vaclav,Cerny
102,10.0,Virgil Misidjan,Right Winger,"Jul 24, 1993",28,173,both,"Jul 1, 2021","Jun 30, 2023",800000.0,FC Twente, @MisidjanVirgil,Virgil,Misidjan
103,39.0,Daan Rots,Right Winger,"Jul 25, 2001",20,179,left,"Feb 17, 2021","Jun 30, 2023",400000.0,FC Twente, -,Daan,Rots
104,24.0,Jahnoah Markelo,Right Winger,"Jan 4, 2003",19,171,left,"Oct 14, 2021","Jun 30, 2023",50000.0,FC Twente, -,Jahnoah,Markelo
105,27.0,Manfred Ugalde,Centre-Forward,"May 25, 2002",19,173,right,"Jul 1, 2021","Jun 30, 2022",1100000.0,FC Twente, -,Manfred,Ugalde
106,13.0,Ricky van Wolfswinkel,Centre-Forward,"Jan 27, 1989",33,186,right,"Jul 21, 2021","Jun 30, 2023",500000.0,FC Twente, @RvWolfswinkel9,Ricky,van Wolfswinkel
107,32.0,Eric Oelschlägel,Goalkeeper,"Sep 20, 1995",26,193,right,"Oct 5, 2020","Jun 30, 2022",650000.0,FC Utrecht, -,Eric,Oelschlägel
108,16.0,Fabian de Keijzer,Goalkeeper,"May 10, 2000",21,193,right,"Jul 1, 2020","Jun 30, 2024",400000.0,FC Utrecht, @Fabiandekeijzer,Fabian,de Keijzer
109,33.0,Mike van der Hoorn,Centre-Back,"Oct 15, 1992",29,190,right,"Aug 18, 2021","Jun 30, 2022",1600000.0,FC Utrecht, @mikevdhoorn1,Mike,van der Hoorn
110,3.0,Tommy St. Jago,Centre-Back,"Jan 3, 2000",22,186,right,"Jul 1, 2020","Jun 30, 2024",1000000.0,FC Utrecht, -,Tommy,St. Jago
111,24.0,Christopher Mamengi,Centre-Back,"Apr 3, 2001",20,182,left,"Jul 1, 2021","Jun 30, 2023",425000.0,FC Utrecht, -,Christopher,Mamengi
112,14.0,Willem Janssen,Centre-Back,"Jul 4, 1986",35,186,right,"Jul 1, 2014","Jun 30, 2022",300000.0,FC Utrecht, @WillemJanssen86,Willem,Janssen
113,21.0,Django Warmerdam,Left-Back,"Sep 2, 1995",26,180,left,"Jul 1, 2020","Jun 30, 2023",1200000.0,FC Utrecht, -,Django,Warmerdam
114,20.0,Arthur Zagre,Left-Back,"Oct 4, 2001",20,168,left,"Jul 1, 2021","Jun 30, 2023",1000000.0,FC Utrecht, @arthur2r3,Arthur,Zagre
115,5.0,Hidde ter Avest,Right-Back,"May 20, 1997",24,182,right,"Jan 13, 2021","Jun 30, 2024",2000000.0,FC Utrecht, @hiddetavest,Hidde,ter Avest
116,2.0,Mark van der Maarel,Right-Back,"Aug 12, 1989",32,177,right,"Jul 1, 2009","Jun 30, 2023",400000.0,FC Utrecht, @MarkvdMaarel,Mark,van der Maarel
117,25.0,Sylian Mokono,Right-Back,"Mar 22, 1999",22,188,right,"Jul 1, 2021","Jun 30, 2024",200000.0,FC Utrecht, -,Sylian,Mokono
118,6.0,Adam Maher,Defensive Midfield,"Jul 20, 1993",28,174,right,"Jul 1, 2019","Jun 30, 2023",3400000.0,FC Utrecht, @Ad8mmaher,Adam,Maher
119,27.0,Quinten Timber,Central Midfield,"Jun 17, 2001",20,177,right,"Jul 1, 2021","Jun 30, 2024",2200000.0,FC Utrecht, @QuintenTimber,Quinten,Timber
120,8.0,Joris van Overeem,Central Midfield,"Jun 1, 1994",27,181,right,"Jul 1, 2018","Jun 30, 2022",1200000.0,FC Utrecht, @JorisvanOvereem,Joris,van Overeem
121,28.0,Urby Emanuelson,Central Midfield,"Jun 16, 1986",35,176,left,"Jul 10, 2017","Jun 30, 2023",200000.0,FC Utrecht, @Urby28,Urby,Emanuelson
122,23.0,Bart Ramselaar,Attacking Midfield,"Jun 29, 1996",25,178,right,"Aug 24, 2019","Jun 30, 2022",3500000.0,FC Utrecht, @bartramselaar,Bart,Ramselaar
123,10.0,Simon Gustafson,Attacking Midfield,"Jan 11, 1995",27,185,left,"Jul 1, 2018","Jun 30, 2022",1800000.0,FC Utrecht, @simzci,Simon,Gustafson
124,22.0,Sander van de Streek,Attacking Midfield,"Mar 24, 1993",28,180,right,"Jul 1, 2017","Jun 30, 2023",1400000.0,FC Utrecht, -,Sander,van de Streek
125,26.0,Othmane Boussaid,Left Winger,"Mar 7, 2000",22,166,right,"Jul 1, 2018","Jun 30, 2024",1100000.0,FC Utrecht, -,Othmane,Boussaid
126,29.0,Moussa Sylla,Right Winger,"Nov 25, 1999",22,181,right,"Sep 15, 2020","Jun 30, 2023",1500000.0,FC Utrecht, @Msylla29,Moussa,Sylla
127,7.0,Naoki Maeda,Right Winger,"Nov 17, 1994",27,176,left,"Jan 1, 2022","Jun 30, 2022",900000.0,FC Utrecht, -,Naoki,Maeda
128,30.0,Remco Balk,Right Winger,"Mar 2, 2001",21,m,right,"Jan 20, 2021","Jun 30, 2025",400000.0,FC Utrecht, -,Remco,Balk
129,37.0,Mohamed Mallahi,Right Winger,"Feb 13, 2000",22,181,right,-,"Jun 30, 2024",275000.0,FC Utrecht, -,Mohamed,Mallahi
130,11.0,Mimoun Mahi,Centre-Forward,"Mar 13, 1994",27,181,right,"Aug 17, 2020","Jun 30, 2024",1600000.0,FC Utrecht, @mimoun_mahi,Mimoun,Mahi
131,9.0,Anastasios Douvikas,Centre-Forward,"Aug 2, 1999",22,186,,"Jul 1, 2021","Jun 30, 2025",1500000.0,FC Utrecht, -,Anastasios,Douvikas
132,18.0,Henk Veerman,Centre-Forward,"Feb 26, 1991",31,201,right,"Jan 26, 2022","Jun 30, 2024",900000.0,FC Utrecht, -,Henk,Veerman
133,1.0,Justin Bijlow,Goalkeeper,"Jan 22, 1998",24,188,right,"Jul 1, 2016","Jun 30, 2025",13000000.0,Feyenoord, -,Justin,Bijlow
134,21.0,Ofir Marciano,Goalkeeper,"Oct 7, 1989",32,193,right,"Jul 1, 2021","Jun 30, 2023",400000.0,Feyenoord, -,Ofir,Marciano
135,30.0,Thijs Jansen,Goalkeeper,"Nov 29, 2001",20,m,right,"Jul 1, 2021","Jun 30, 2023",50000.0,Feyenoord, -,Thijs,Jansen
136,4.0,Marcos Senesi,Centre-Back,"May 10, 1997",24,185,left,"Sep 2, 2019","Jun 30, 2023",12000000.0,Feyenoord, @senesimarcos,Marcos,Senesi
137,18.0,Gernot Trauner,Centre-Back,"Mar 25, 1992",29,183,right,"Jul 26, 2021","Jun 30, 2025",4000000.0,Feyenoord, -,Gernot,Trauner
138,13.0,Philippe Sandler,Centre-Back,"Feb 10, 1997",25,190,right,"Jan 31, 2022","Jun 30, 2022",2000000.0,Feyenoord, -,Philippe,Sandler
139,25.0,Ramon Hendriks,Centre-Back,"Jul 18, 2001",20,189,left,"Jul 1, 2021","Jun 30, 2023",800000.0,Feyenoord, -,Ramon,Hendriks
140,5.0,Tyrell Malacia,Left-Back,"Aug 17, 1999",22,169,left,"Jul 1, 2017","Jun 30, 2024",10000000.0,Feyenoord, @sanroy42976595,Tyrell,Malacia
141,3.0,Lutsharel Geertruida,Right-Back,"Jul 18, 2000",21,184,right,"Jul 1, 2018","Jun 30, 2024",6000000.0,Feyenoord, @L8EGeertruida,Lutsharel,Geertruida
142,2.0,Marcus Holmgren Pedersen,Right-Back,"Jul 16, 2000",21,184,right,"Jul 1, 2021","Jun 30, 2026",4500000.0,Feyenoord, -,Marcus,Holmgren Pedersen
143,32.0,Denzel Hall,Right-Back,"May 22, 2001",20,180,right,"Jul 1, 2021","Jun 30, 2024",100000.0,Feyenoord, -,Denzel,Hall
144,17.0,Fredrik Aursnes,Defensive Midfield,"Dec 10, 1995",26,181,right,"Aug 10, 2021","Jun 30, 2024",5000000.0,Feyenoord, @peacerich18,Fredrik,Aursnes
145,6.0,Jorrit Hendrix,Defensive Midfield,"Feb 6, 1995",27,181,left,"Jan 26, 2022","Jun 30, 2023",1800000.0,Feyenoord, @JorritHendrix,Jorrit,Hendrix
146,45.0,Lennard Hartjes,Defensive Midfield,"Apr 7, 2003",18,m,right,"Jul 1, 2021","Jun 30, 2023",100000.0,Feyenoord, -,Lennard,Hartjes
147,10.0,Orkun Kökcü,Central Midfield,"Dec 29, 2000",21,175,both,"Jul 1, 2018","Jun 30, 2025",14000000.0,Feyenoord, @OrkunKokcu,Orkun,Kökcü
148,26.0,Guus Til,Attacking Midfield,"Dec 22, 1997",24,186,right,"Jul 1, 2021","Jun 30, 2022",6500000.0,Feyenoord, -,Guus,Til
149,19.0,Cole Bassett,Attacking Midfield,"Jul 28, 2001",20,180,both,"Jan 20, 2022","Jun 30, 2023",6000000.0,Feyenoord, @colebassett19,Cole,Bassett
150,28.0,Jens Toornstra,Attacking Midfield,"Apr 4, 1989",32,178,right,"Aug 25, 2014","Jun 30, 2023",1500000.0,Feyenoord, @jenstoornstra,Jens,Toornstra
151,48.0,Antoni Milambo,Attacking Midfield,"Apr 3, 2005",16,179,right,"Jul 1, 2021","Jun 30, 2024",1000000.0,Feyenoord, -,Antoni,Milambo
152,7.0,Luis Sinisterra,Left Winger,"Jun 17, 1999",22,172,right,"Jul 8, 2018","Jun 30, 2024",16000000.0,Feyenoord, @Sinisterra29,Luis,Sinisterra
153,14.0,Reiss Nelson,Left Winger,"Dec 10, 1999",22,175,right,"Aug 31, 2021","Jun 30, 2022",7000000.0,Feyenoord, @ReissNelson9,Reiss,Nelson
154,9.0,Alireza Jahanbakhsh,Right Winger,"Aug 11, 1993",28,180,right,"Jul 17, 2021","Jun 30, 2024",4000000.0,Feyenoord, @Alirezajb7,Alireza,Jahanbakhsh
155,23.0,Patrik Wålemark,Right Winger,"Oct 14, 2001",20,184,left,"Jan 17, 2022","Jun 30, 2026",3500000.0,Feyenoord, -,Patrik,Wålemark
156,33.0,Cyriel Dessers,Centre-Forward,"Dec 8, 1994",27,184,right,"Aug 31, 2021","Jun 30, 2022",3000000.0,Feyenoord, @CyrielDessers,Cyriel,Dessers
