,number,name,position,birthday,age,height,foot,joined,contract,value,squad
24,22,Sébastien Haller,Centre-Forward,"Jun 22, 1994",27,190,right,"Jan 8, 2021","Jun 30, 2025",30000000.0,ajax amsterdam
25,18,Brian Brobbey,Centre-Forward,"Feb 1, 2002",20,180,right,"Jan 1, 2022","Jun 30, 2022",7500000.0,ajax amsterdam
26,9,Danilo Pereira,Centre-Forward,"Apr 7, 1999",22,174,right,"Jul 1, 2021","Jun 30, 2022",4200000.0,ajax amsterdam
0,1,Peter Vindahl,Goalkeeper,"Feb 16, 1998",24,195,right,"Aug 16, 2021","Jun 30, 2025",900000.0,az alkmaar
1,12,Hobie Verhulst,Goalkeeper,"Apr 2, 1993",28,192,left,"Jul 1, 2020","Jun 30, 2023",425000.0,az alkmaar
2,16,Beau Reus,Goalkeeper,"Oct 30, 2001",20,198,left,"Jul 1, 2021","Jun 30, 2023",150000.0,az alkmaar
3,30,Mees Bakker,Goalkeeper,"Mar 11, 2001",20,187,right,"Jul 1, 2020","Jun 30, 2023",100000.0,az alkmaar
4,3,Pantelis Chatzidiakos,Centre-Back,"Jan 18, 1997",25,185,right,"Dec 4, 2015","Jun 30, 2024",3000000.0,az alkmaar
5,4,Bruno Martins Indi,Centre-Back,"Feb 8, 1992",30,185,left,"Jul 5, 2021","Jun 30, 2025",2200000.0,az alkmaar
6,22,Timo Letschert,Centre-Back,"May 25, 1993",28,188,right,"Sep 3, 2020","Jun 30, 2023",700000.0,az alkmaar
7,31,Sam Beukema,Centre-Back,"Nov 17, 1998",23,188,right,"Jul 1, 2021","Jun 30, 2026",700000.0,az alkmaar
8,5,Owen Wijndal,Left-Back,"Nov 28, 1999",22,176,left,"Jul 1, 2017","Jun 30, 2023",12000000.0,az alkmaar
9,26,Milos Kerkez,Left-Back,"Nov 7, 2003",18,180,left,"Jan 29, 2022","Jun 30, 2026",300000.0,az alkmaar
10,2,Yukinari Sugawara,Right-Back,"Jun 28, 2000",21,179,right,"Jul 1, 2020","Jun 30, 2025",3000000.0,az alkmaar
11,15,Aslak Fonn Witry,Right-Back,"Mar 10, 1996",25,178,right,"Aug 9, 2021","Jun 30, 2026",1500000.0,az alkmaar
12,20,Jordy Clasie,Defensive Midfield,"Jun 27, 1991",30,169,right,"Jul 22, 2019","Jun 30, 2024",1800000.0,az alkmaar
13,14,Peer Koopmeiners,Defensive Midfield,"May 4, 2000",21,186,right,"Jul 1, 2021","Jun 30, 2025",700000.0,az alkmaar
14,6,Fredrik Midtsjö,Central Midfield,"Aug 11, 1993",28,176,right,"Aug 26, 2017","Jun 30, 2023",6000000.0,az alkmaar
15,24,Tijjani Reijnders,Central Midfield,"Jul 29, 1998",23,185,right,"Jan 1, 2018","Jun 30, 2025",1200000.0,az alkmaar
16,10,Dani de Wit,Attacking Midfield,"Jan 28, 1998",24,184,right,"Aug 30, 2019","Jun 30, 2024",2800000.0,az alkmaar
17,23,Mohamed Taabouni,Attacking Midfield,"Mar 29, 2002",19,178,right,"Jul 1, 2020","Jun 30, 2022",1500000.0,az alkmaar
18,-,Jeremy Helmer,Attacking Midfield,"Jul 3, 1997",24,180,right,"Jul 1, 2016","Jun 30, 2022",550000.0,az alkmaar
19,11,Jesper Karlsson,Left Winger,"Jul 25, 1998",23,179,right,"Sep 29, 2020","Jun 30, 2026",10000000.0,az alkmaar
20,8,Kamal Sowah,Right Winger,"Jan 9, 2000",22,179,left,"Jan 31, 2022","Jun 30, 2022",5000000.0,az alkmaar
21,7,Zakaria Aboukhlal,Right Winger,"Feb 18, 2000",22,179,both,"Aug 27, 2019","Jun 30, 2023",2000000.0,az alkmaar
22,18,Hakon Evjen,Right Winger,"Feb 14, 2000",22,173,left,"Jan 1, 2020","Jun 30, 2024",1500000.0,az alkmaar
23,9,Vangelis Pavlidis,Centre-Forward,"Nov 21, 1998",23,186,both,"Jul 9, 2021","Jun 30, 2025",3000000.0,az alkmaar
24,17,Yusuf Barasi,Centre-Forward,"Mar 31, 2003",18,182,right,"Jan 20, 2022","Jun 30, 2025",500000.0,az alkmaar
25,21,Ernest Poku,Centre-Forward,"Jan 28, 2004",18,172,right,"Jan 28, 2022","Jun 30, 2026",300000.0,az alkmaar
26,19,Jelle Duin,Centre-Forward,"Jan 27, 1999",23,186,left,"Jul 1, 2021","Jun 30, 2024",200000.0,az alkmaar
0,1.0,Peter Leeuwenburgh,Goalkeeper,"Mar 23, 1994",27,196,right,"Jul 1, 2021","Jun 30, 2023",600000.0,fc groningen
1,16.0,Jan Hoekstra,Goalkeeper,"Aug 4, 1998",23,190,right,"Jul 1, 2018","Jun 30, 2024",350000.0,fc groningen
2,25.0,Jan de Boer,Goalkeeper,"May 20, 2000",21,199,right,"Aug 29, 2019","Jun 30, 2022",25000.0,fc groningen
3,39.0,Owen van der Vlag,Goalkeeper,"Oct 2, 2003",18,m,,"Jul 1, 2021",-,25000.0,fc groningen
4,21.0,Neraysho Kasanwirjo,Centre-Back,"Feb 18, 2002",20,185,right,"Jul 1, 2021","Jun 30, 2024",1000000.0,fc groningen
5,5.0,Mike te Wierik,Centre-Back,"Jun 8, 1992",29,191,right,"Jan 19, 2021","Jun 30, 2024",650000.0,fc groningen
6,20.0,Marin Sverko,Centre-Back,"Feb 4, 1998",24,187,left,"Jul 1, 2021","Jun 30, 2024",600000.0,fc groningen
7,12.0,Radinio Balker,Centre-Back,"Sep 3, 1998",23,193,right,"Jul 1, 2021","Jun 30, 2024",500000.0,fc groningen
8,3.0,Bart van Hintum,Left-Back,"Jan 16, 1987",35,177,left,"Jul 6, 2019","Jun 30, 2022",300000.0,fc groningen
9,15.0,Yahya Kalley,Left-Back,"Mar 20, 2001",20,185,,"Aug 31, 2021","Jun 30, 2024",300000.0,fc groningen
10,40.0,Bjorn Meijer,Left-Back,"Mar 18, 2003",18,190,left,"Jul 1, 2021","Jun 30, 2023",250000.0,fc groningen
11,2.0,Damil Dankerlui,Right-Back,"Aug 24, 1996",25,172,right,"Jul 27, 2020","Jun 30, 2024",750000.0,fc groningen
12,18.0,Melayro Bogarde,Defensive Midfield,"May 28, 2002",19,184,right,"Jan 14, 2022","Jun 30, 2022",1500000.0,fc groningen
13,26.0,Daniël van Kaam,Defensive Midfield,"Jun 23, 2000",21,175,left,"Jul 1, 2019","Jun 30, 2023",1000000.0,fc groningen
14,6.0,Laros Duarte,Defensive Midfield,"Feb 28, 1997",25,180,right,"Aug 31, 2021","Jun 30, 2025",750000.0,fc groningen
15,14.0,Emmanuel Matuta,Defensive Midfield,"Feb 22, 2002",20,177,both,"Jan 20, 2022","Jun 30, 2026",300000.0,fc groningen
16,7.0,Tomas Suslov,Attacking Midfield,"Jun 7, 2002",19,173,left,"Jul 1, 2020","Jun 30, 2026",2500000.0,fc groningen
17,10.0,Daleho Irandust,Attacking Midfield,"Jun 4, 1998",23,185,left,"Aug 31, 2021","Jun 30, 2026",2000000.0,fc groningen
18,32.0,Luciano Valente,Attacking Midfield,"Oct 4, 2003",18,189,right,"Jul 1, 2021","Jun 30, 2023",2000000.0,fc groningen
19,11.0,Mo El Hankouri,Left Winger,"Jul 1, 1997",24,176,right,"Jul 1, 2019","Jun 30, 2022",900000.0,fc groningen
20,17.0,Sebastian Tounekti,Left Winger,"Jul 13, 2002",19,183,right,"Aug 31, 2021","Jun 30, 2022",200000.0,fc groningen
21,27.0,Cyril Ngonge,Right Winger,"May 26, 2000",21,179,left,"Jul 2, 2021","Jun 30, 2025",1400000.0,fc groningen
22,9.0,Jörgen Strand Larsen,Centre-Forward,"Feb 6, 2000",22,193,right,"Sep 9, 2020","Jun 30, 2024",3000000.0,fc groningen
23,19.0,Paulos Abraham,Centre-Forward,"Jul 16, 2002",19,178,both,"Jul 1, 2021","Jun 30, 2026",1500000.0,fc groningen
24,29.0,Romano Postema,Centre-Forward,"Feb 7, 2002",20,175,right,"Jan 1, 2020","Jun 30, 2024",325000.0,fc groningen
25,8.0,Michael de Leeuw,Centre-Forward,"Oct 7, 1986",35,178,right,"Jul 1, 2021","Jun 30, 2022",300000.0,fc groningen
26,33.0,Alex Mortensen,Centre-Forward,"Jul 13, 2002",19,m,,"Jul 1, 2021","Jun 30, 2022",25000.0,fc groningen
0,1.0,Lars Unnerstall,Goalkeeper,"Jul 20, 1990",31,198,right,"Jul 1, 2021","Jun 30, 2025",1500000.0,fc twente enschede
1,22.0,Jeffrey de Lange,Goalkeeper,"Apr 1, 1998",23,190,right,"Jul 1, 2018","Jun 30, 2024",50000.0,fc twente enschede
2,30.0,Ennio van der Gouw,Goalkeeper,"Jan 1, 2001",21,195,right,"Jul 1, 2020","Jun 30, 2022",50000.0,fc twente enschede
3,15.0,Kik Pierie,Centre-Back,"Jul 20, 2000",21,183,left,"Jul 16, 2020","Jun 30, 2022",2000000.0,fc twente enschede
4,35.0,Mees Hilgers,Centre-Back,"May 13, 2001",20,183,right,"Oct 17, 2020","Jun 30, 2023",1000000.0,fc twente enschede
5,3.0,Robin Pröpper,Centre-Back,"Sep 23, 1993",28,190,right,"Jul 1, 2021","Jun 30, 2024",900000.0,fc twente enschede
6,4.0,Julio Pleguezuelo,Centre-Back,"Jan 26, 1997",25,180,right,"Jul 1, 2019","Jun 30, 2022",800000.0,fc twente enschede
7,5.0,Gijs Smal,Left-Back,"Aug 31, 1997",24,183,left,"Jul 1, 2020","Jun 30, 2023",600000.0,fc twente enschede
8,2.0,Giovanni Troupée,Right-Back,"Mar 20, 1998",23,181,right,"Jul 1, 2021","Jun 30, 2022",600000.0,fc twente enschede
9,20.0,Joshua Brenet,Right-Back,"Mar 20, 1994",27,181,right,"Jan 31, 2022","Jun 30, 2022",500000.0,fc twente enschede
10,36.0,Luca Everink,Right-Back,"Feb 9, 2001",21,179,right,"Sep 24, 2021","Jun 30, 2022",150000.0,fc twente enschede
11,6.0,Wout Brama,Defensive Midfield,"Aug 21, 1986",35,176,right,"Jul 1, 2018","Jun 30, 2022",275000.0,fc twente enschede
12,23.0,Michal Sadilek,Central Midfield,"May 31, 1999",22,169,left,"Aug 7, 2021","Jun 30, 2022",2500000.0,fc twente enschede
13,19.0,Ramiz Zerrouki,Central Midfield,"May 26, 1998",23,183,right,"Jul 1, 2020","Jun 30, 2023",1200000.0,fc twente enschede
14,32.0,Jesse Bosch,Central Midfield,"Feb 1, 2000",22,176,right,"Jan 1, 2020","Jun 30, 2022",600000.0,fc twente enschede
15,40.0,Casper Staring,Central Midfield,"Feb 1, 2001",21,186,right,"Jul 1, 2020","Jun 30, 2023",100000.0,fc twente enschede
16,38.0,Max Bruns,Central Midfield,"Nov 6, 2002",19,183,right,"Feb 17, 2021","Jun 30, 2023",75000.0,fc twente enschede
17,14.0,Michel Vlap,Attacking Midfield,"Jun 2, 1997",24,190,right,"Aug 10, 2021","Jun 30, 2022",2000000.0,fc twente enschede
18,26.0,Denilho Cleonise,Left Winger,"Dec 8, 2001",20,179,left,"Aug 18, 2021","Jun 30, 2023",600000.0,fc twente enschede
19,18.0,Dimitrios Limnios,Right Winger,"May 27, 1998",23,178,right,"Aug 6, 2021","Jun 30, 2022",1500000.0,fc twente enschede
20,7.0,Vaclav Cerny,Right Winger,"Oct 17, 1997",24,182,left,"Jul 2, 2021","Jun 30, 2023",1000000.0,fc twente enschede
21,10.0,Virgil Misidjan,Right Winger,"Jul 24, 1993",28,173,both,"Jul 1, 2021","Jun 30, 2023",800000.0,fc twente enschede
22,39.0,Daan Rots,Right Winger,"Jul 25, 2001",20,179,left,"Feb 17, 2021","Jun 30, 2023",400000.0,fc twente enschede
23,24.0,Jahnoah Markelo,Right Winger,"Jan 4, 2003",19,171,left,"Oct 14, 2021","Jun 30, 2023",50000.0,fc twente enschede
24,27.0,Manfred Ugalde,Centre-Forward,"May 25, 2002",19,173,right,"Jul 1, 2021","Jun 30, 2022",1100000.0,fc twente enschede
25,13.0,Ricky van Wolfswinkel,Centre-Forward,"Jan 27, 1989",33,186,right,"Jul 21, 2021","Jun 30, 2023",500000.0,fc twente enschede
0,32.0,Eric Oelschlägel,Goalkeeper,"Sep 20, 1995",26,193,right,"Oct 5, 2020","Jun 30, 2022",650000.0,fc utrecht
1,16.0,Fabian de Keijzer,Goalkeeper,"May 10, 2000",21,193,right,"Jul 1, 2020","Jun 30, 2024",400000.0,fc utrecht
2,33.0,Mike van der Hoorn,Centre-Back,"Oct 15, 1992",29,190,right,"Aug 18, 2021","Jun 30, 2022",1600000.0,fc utrecht
3,3.0,Tommy St. Jago,Centre-Back,"Jan 3, 2000",22,186,right,"Jul 1, 2020","Jun 30, 2024",1000000.0,fc utrecht
4,24.0,Christopher Mamengi,Centre-Back,"Apr 3, 2001",20,182,left,"Jul 1, 2021","Jun 30, 2023",425000.0,fc utrecht
5,14.0,Willem Janssen,Centre-Back,"Jul 4, 1986",35,186,right,"Jul 1, 2014","Jun 30, 2022",300000.0,fc utrecht
6,21.0,Django Warmerdam,Left-Back,"Sep 2, 1995",26,180,left,"Jul 1, 2020","Jun 30, 2023",1200000.0,fc utrecht
7,20.0,Arthur Zagre,Left-Back,"Oct 4, 2001",20,168,left,"Jul 1, 2021","Jun 30, 2023",1000000.0,fc utrecht
8,5.0,Hidde ter Avest,Right-Back,"May 20, 1997",24,182,right,"Jan 13, 2021","Jun 30, 2024",2000000.0,fc utrecht
9,2.0,Mark van der Maarel,Right-Back,"Aug 12, 1989",32,177,right,"Jul 1, 2009","Jun 30, 2023",400000.0,fc utrecht
10,25.0,Sylian Mokono,Right-Back,"Mar 22, 1999",22,188,right,"Jul 1, 2021","Jun 30, 2024",200000.0,fc utrecht
11,6.0,Adam Maher,Defensive Midfield,"Jul 20, 1993",28,174,right,"Jul 1, 2019","Jun 30, 2023",3400000.0,fc utrecht
12,27.0,Quinten Timber,Central Midfield,"Jun 17, 2001",20,177,right,"Jul 1, 2021","Jun 30, 2024",2200000.0,fc utrecht
13,8.0,Joris van Overeem,Central Midfield,"Jun 1, 1994",27,181,right,"Jul 1, 2018","Jun 30, 2022",1200000.0,fc utrecht
14,28.0,Urby Emanuelson,Central Midfield,"Jun 16, 1986",35,176,left,"Jul 10, 2017","Jun 30, 2023",200000.0,fc utrecht
15,23.0,Bart Ramselaar,Attacking Midfield,"Jun 29, 1996",25,178,right,"Aug 24, 2019","Jun 30, 2022",3500000.0,fc utrecht
16,10.0,Simon Gustafson,Attacking Midfield,"Jan 11, 1995",27,185,left,"Jul 1, 2018","Jun 30, 2022",1800000.0,fc utrecht
17,22.0,Sander van de Streek,Attacking Midfield,"Mar 24, 1993",28,180,right,"Jul 1, 2017","Jun 30, 2023",1400000.0,fc utrecht
18,26.0,Othmane Boussaid,Left Winger,"Mar 7, 2000",22,166,right,"Jul 1, 2018","Jun 30, 2024",1100000.0,fc utrecht
19,29.0,Moussa Sylla,Right Winger,"Nov 25, 1999",22,181,right,"Sep 15, 2020","Jun 30, 2023",1500000.0,fc utrecht
20,7.0,Naoki Maeda,Right Winger,"Nov 17, 1994",27,176,left,"Jan 1, 2022","Jun 30, 2022",900000.0,fc utrecht
21,30.0,Remco Balk,Right Winger,"Mar 2, 2001",21,m,right,"Jan 20, 2021","Jun 30, 2025",400000.0,fc utrecht
22,37.0,Mohamed Mallahi,Right Winger,"Feb 13, 2000",22,181,right,-,"Jun 30, 2024",275000.0,fc utrecht
23,11.0,Mimoun Mahi,Centre-Forward,"Mar 13, 1994",27,181,right,"Aug 17, 2020","Jun 30, 2024",1600000.0,fc utrecht
24,9.0,Anastasios Douvikas,Centre-Forward,"Aug 2, 1999",22,186,,"Jul 1, 2021","Jun 30, 2025",1500000.0,fc utrecht
25,18.0,Henk Veerman,Centre-Forward,"Feb 26, 1991",31,201,right,"Jan 26, 2022","Jun 30, 2024",900000.0,fc utrecht
0,1.0,Justin Bijlow,Goalkeeper,"Jan 22, 1998",24,188,right,"Jul 1, 2016","Jun 30, 2025",13000000.0,feyenoord rotterdam
1,21.0,Ofir Marciano,Goalkeeper,"Oct 7, 1989",32,193,right,"Jul 1, 2021","Jun 30, 2023",400000.0,feyenoord rotterdam
2,30.0,Thijs Jansen,Goalkeeper,"Nov 29, 2001",20,m,right,"Jul 1, 2021","Jun 30, 2023",50000.0,feyenoord rotterdam
3,4.0,Marcos Senesi,Centre-Back,"May 10, 1997",24,185,left,"Sep 2, 2019","Jun 30, 2023",12000000.0,feyenoord rotterdam
4,18.0,Gernot Trauner,Centre-Back,"Mar 25, 1992",29,183,right,"Jul 26, 2021","Jun 30, 2025",4000000.0,feyenoord rotterdam
5,13.0,Philippe Sandler,Centre-Back,"Feb 10, 1997",25,190,right,"Jan 31, 2022","Jun 30, 2022",2000000.0,feyenoord rotterdam
6,25.0,Ramon Hendriks,Centre-Back,"Jul 18, 2001",20,189,left,"Jul 1, 2021","Jun 30, 2023",800000.0,feyenoord rotterdam
7,5.0,Tyrell Malacia,Left-Back,"Aug 17, 1999",22,169,left,"Jul 1, 2017","Jun 30, 2024",10000000.0,feyenoord rotterdam
8,3.0,Lutsharel Geertruida,Right-Back,"Jul 18, 2000",21,184,right,"Jul 1, 2018","Jun 30, 2024",6000000.0,feyenoord rotterdam
9,2.0,Marcus Holmgren Pedersen,Right-Back,"Jul 16, 2000",21,184,right,"Jul 1, 2021","Jun 30, 2026",4500000.0,feyenoord rotterdam
10,32.0,Denzel Hall,Right-Back,"May 22, 2001",20,180,right,"Jul 1, 2021","Jun 30, 2024",100000.0,feyenoord rotterdam
11,17.0,Fredrik Aursnes,Defensive Midfield,"Dec 10, 1995",26,181,right,"Aug 10, 2021","Jun 30, 2024",5000000.0,feyenoord rotterdam
12,6.0,Jorrit Hendrix,Defensive Midfield,"Feb 6, 1995",27,181,left,"Jan 26, 2022","Jun 30, 2023",1800000.0,feyenoord rotterdam
13,45.0,Lennard Hartjes,Defensive Midfield,"Apr 7, 2003",18,m,right,"Jul 1, 2021","Jun 30, 2023",100000.0,feyenoord rotterdam
14,10.0,Orkun Kökcü,Central Midfield,"Dec 29, 2000",21,175,both,"Jul 1, 2018","Jun 30, 2025",14000000.0,feyenoord rotterdam
15,26.0,Guus Til,Attacking Midfield,"Dec 22, 1997",24,186,right,"Jul 1, 2021","Jun 30, 2022",6500000.0,feyenoord rotterdam
16,19.0,Cole Bassett,Attacking Midfield,"Jul 28, 2001",20,180,both,"Jan 20, 2022","Jun 30, 2023",6000000.0,feyenoord rotterdam
17,28.0,Jens Toornstra,Attacking Midfield,"Apr 4, 1989",32,178,right,"Aug 25, 2014","Jun 30, 2023",1500000.0,feyenoord rotterdam
18,48.0,Antoni Milambo,Attacking Midfield,"Apr 3, 2005",16,179,right,"Jul 1, 2021","Jun 30, 2024",1000000.0,feyenoord rotterdam
19,7.0,Luis Sinisterra,Left Winger,"Jun 17, 1999",22,172,right,"Jul 8, 2018","Jun 30, 2024",16000000.0,feyenoord rotterdam
20,14.0,Reiss Nelson,Left Winger,"Dec 10, 1999",22,175,right,"Aug 31, 2021","Jun 30, 2022",7000000.0,feyenoord rotterdam
21,9.0,Alireza Jahanbakhsh,Right Winger,"Aug 11, 1993",28,180,right,"Jul 17, 2021","Jun 30, 2024",4000000.0,feyenoord rotterdam
22,23.0,Patrik Wålemark,Right Winger,"Oct 14, 2001",20,184,left,"Jan 17, 2022","Jun 30, 2026",3500000.0,feyenoord rotterdam
23,33.0,Cyriel Dessers,Centre-Forward,"Dec 8, 1994",27,184,right,"Aug 31, 2021","Jun 30, 2022",3000000.0,feyenoord rotterdam
24,11.0,Bryan Linssen,Centre-Forward,"Oct 8, 1990",31,170,right,"Jul 6, 2020","Jun 30, 2023",2200000.0,feyenoord rotterdam
0,34.0,Michael Verrips,Goalkeeper,"Dec 3, 1996",25,196,right,"Jan 11, 2022","Jun 30, 2022",900000.0,fortuna sittard
1,1.0,Yanick van Osch,Goalkeeper,"Mar 24, 1997",24,183,right,"Jul 1, 2020","Jun 30, 2023",650000.0,fortuna sittard
2,32.0,Felix Dornebusch,Goalkeeper,"Jul 12, 1994",27,193,right,"Jul 1, 2021","Jun 30, 2022",225000.0,fortuna sittard
3,41.0,Tom Hendriks,Goalkeeper,"May 14, 2002",19,186,,"Jul 1, 2021","Jun 30, 2022",50000.0,fortuna sittard
4,33.0,Dimitrios Siovas,Centre-Back,"Sep 16, 1988",33,191,left,"Jan 31, 2022","Jun 30, 2022",1500000.0,fortuna sittard
5,2.0,Martin Angha,Centre-Back,"Jan 22, 1994",28,188,both,"Aug 26, 2019","Jun 30, 2022",700000.0,fortuna sittard
6,4.0,Roel Janssen,Centre-Back,"Jun 16, 1990",31,179,left,"Jul 1, 2020","Jun 30, 2023",300000.0,fortuna sittard
7,18.0,Nigel Lonwijk,Centre-Back,"Oct 27, 2002",19,190,right,"Aug 31, 2021","Jun 30, 2022",300000.0,fortuna sittard
8,35.0,George Cox,Left-Back,"Jan 14, 1998",24,171,left,"Jul 6, 2020","Jun 30, 2023",1000000.0,fortuna sittard
9,27.0,Ronan Pluijmen,Left-Back,"Jun 26, 2003",18,173,left,"Jul 1, 2021",-,50000.0,fortuna sittard
10,25.0,Mickaël Tirpan,Right-Back,"Oct 23, 1993",28,177,right,"Aug 27, 2021","Jun 30, 2024",800000.0,fortuna sittard
11,12.0,Ivo Pinto,Right-Back,"Jan 7, 1990",32,182,right,"Aug 26, 2021","Jun 30, 2022",600000.0,fortuna sittard
12,22.0,Andreas Samaris,Defensive Midfield,"Jun 13, 1989",32,189,right,"Nov 19, 2021","Jun 30, 2022",800000.0,fortuna sittard
13,14.0,Tesfaldet Tekie,Central Midfield,"Jun 4, 1997",24,175,right,"Sep 9, 2019","Jun 30, 2022",850000.0,fortuna sittard
14,6.0,Deroy Duarte,Central Midfield,"Jul 4, 1999",22,177,right,"Aug 12, 2021","Jun 30, 2024",650000.0,fortuna sittard
15,23.0,Ben Rienstra,Central Midfield,"Jun 5, 1990",31,182,right,"Sep 1, 2020","Jun 30, 2023",300000.0,fortuna sittard
16,28.0,Ryan Johansson,Central Midfield,"Feb 15, 2001",21,186,both,"Aug 13, 2021","Jun 30, 2022",100000.0,fortuna sittard
17,8.0,Zian Flemming,Attacking Midfield,"Aug 1, 1998",23,185,right,"Aug 27, 2020","Jun 30, 2024",1200000.0,fortuna sittard
18,10.0,Mats Seuntjens,Attacking Midfield,"Apr 17, 1992",29,187,right,"Aug 15, 2020","Jun 30, 2022",1200000.0,fortuna sittard
19,19.0,Arianit Ferati,Attacking Midfield,"Sep 7, 1997",24,168,left,"Jul 29, 2021","Jun 30, 2023",350000.0,fortuna sittard
20,29.0,Richie Musaba,Attacking Midfield,"Dec 6, 2000",21,177,right,"Sep 4, 2020","Jun 30, 2022",225000.0,fortuna sittard
21,7.0,Lisandro Semedo,Right Winger,"Mar 12, 1996",25,175,right,"Jul 1, 2018","Jun 30, 2022",800000.0,fortuna sittard
22,17.0,Jordan Botaka,Right Winger,"Jun 24, 1993",28,184,right,"Jan 28, 2022","Jun 30, 2022",700000.0,fortuna sittard
23,11.0,Paul Gladon,Centre-Forward,"Mar 18, 1992",29,188,right,"Feb 4, 2022","Jun 30, 2022",450000.0,fortuna sittard
24,9.0,Charlison Benschop,Centre-Forward,"Aug 21, 1989",32,191,right,"Jan 31, 2022","Jun 30, 2023",400000.0,fortuna sittard
25,24.0,Samy Baghdadi,Centre-Forward,"Jul 11, 1997",24,189,right,"Aug 3, 2021","Jun 30, 2023",150000.0,fortuna sittard
26,77.0,Tijjani Noslin,Centre-Forward,"Jul 7, 1999",22,m,,"Aug 11, 2021","Jun 30, 2024",125000.0,fortuna sittard
0,23,Andries Noppert,Goalkeeper,"Apr 7, 1994",27,203,left,"Jan 22, 2021","Jun 30, 2022",125000.0,go ahead eagles deventer
1,-,Nick Hengelman,Goalkeeper,"Nov 25, 1989",32,186,right,"Jan 31, 2022","Jun 30, 2022",75000.0,go ahead eagles deventer
2,16,Sven Jansen,Goalkeeper,"Oct 23, 2004",17,192,right,"Jul 1, 2021",-,50000.0,go ahead eagles deventer
3,31,Job Schuurman,Goalkeeper,"Jun 12, 1999",22,190,right,"Jul 1, 2021","Jun 30, 2022",50000.0,go ahead eagles deventer
